id,input_type,truth,predicted,correct,difficulty,signal_family,risk_level,has_explanation,has_verify,says_genuine,latency
S01,voice,scam,scam,True,easy,emergency/impersonation,high,True,True,False,1.3
S02,voice,scam,scam,True,medium,emergency/impersonation,high,True,True,False,1.3
S03,text,scam,scam,True,easy,authority/credential,high,True,True,False,1.2
S04,text,scam,scam,True,medium,authority/redirect,high,True,True,False,1.31
S05,voice,scam,scam,True,hard,authority/isolation,high,True,True,False,1.56
S06,text,scam,scam,True,medium,payment-redirect,medium,True,True,False,11.49
S07,text,scam,scam,True,easy,prize/advance-fee,high,True,True,False,12.67
S08,text,scam,scam,True,medium,job/advance-fee,high,True,True,False,12.18
S09,text,scam,scam,True,medium,threat/extortion,high,True,True,False,12.15
S10,text,scam,scam,True,hard,romance/advance-fee,high,True,True,False,13.38
S11,text,scam,scam,True,hard,payment-redirect/BEC,medium,True,True,False,12.02
S12,text,scam,scam,True,easy,phishing/link,high,True,True,False,12.55
S13,text,scam,scam,True,easy,authority/phishing,high,True,True,False,12.25
S14,text,scam,scam,True,medium,tech-support/authority,high,True,True,False,14.07
S15,text,scam,scam,True,medium,authority/account-takeover,high,True,True,False,12.32
S16,text,scam,scam,True,hard,account-takeover/social,high,True,True,False,12.49
S17,text,scam,scam,True,hard,investment/advance-fee,high,True,True,False,12.41
S18,voice,scam,scam,True,medium,impersonation/gift-card,high,True,True,False,12.34
S19,voice,scam,scam,True,easy,emergency/isolation,high,True,True,False,12.16
S20,text,scam,scam,True,hard,phishing/panic,high,True,True,False,12.26
L01,voice,legit,legit,True,easy,family/routine,low,True,True,False,11.91
L02,voice,legit,legit,True,medium,family/emergency,low,True,True,False,11.42
L03,text,legit,legit,True,medium,bank/transactional,low,True,True,False,13.34
L04,text,legit,legit,True,medium,delivery/transactional,low,True,True,False,11.86
L05,text,legit,legit,True,hard,authority/transactional,low,True,True,True,11.83
L06,text,legit,legit,True,medium,work/payment,low,True,True,False,12.2
L07,text,legit,legit,True,easy,social/routine,low,True,True,False,12.04
L08,text,legit,legit,True,medium,authority/transactional,low,True,True,False,12.25
L09,text,legit,legit,True,easy,authority/transactional,low,True,True,True,12.01
L10,text,legit,legit,True,medium,reward/transactional,low,True,True,False,12.03
L11,text,legit,legit,True,medium,job/legit,low,True,True,False,13.03
L12,text,legit,legit,True,hard,social/money,low,True,True,False,12.05
L13,voice,legit,legit,True,easy,family/routine,low,True,True,False,11.22
L14,text,legit,legit,True,medium,authority/transactional,low,True,True,False,1.98
L15,voice,legit,legit,True,medium,work/routine,low,True,True,False,1.1
L16,text,legit,legit,True,medium,authority/transactional,low,True,True,False,1.09
L17,text,legit,legit,True,easy,social/routine,low,True,True,False,1.57
L18,voice,legit,legit,True,hard,family/emergency,low,True,True,False,1.08
L19,text,legit,legit,True,easy,social/routine,low,True,True,False,0.95
L20,text,legit,legit,True,hard,investment/legit,low,True,True,False,1.72
