id,input_type,content,label,scored,difficulty,signal_family,media_file,note
S01,voice,"Mom it's me, my phone broke so I'm on a friend's number. I had an accident and need ₹45,000 for the hospital right now. Please don't tell Papa, he'll panic. Send to this UPI: rescue.help@okaxis",scam,yes,easy,emergency/impersonation,audio/S01.wav,Urgency + secrecy + unusual payment + unknown number. Cloned-voice demo case.
S02,voice,"Hi Mummy, save this as my new number. I'm stuck at the airport, my card isn't working and I'll miss my flight — can you transfer ₹12,000 quickly? I'll call once I'm through security.",scam,yes,medium,emergency/impersonation,audio/S02.wav,"Plausible and polite, no explicit secrecy; tell is new number + urgency + payment. Cloned-voice case."
S03,text,This is SBI. Your account will be blocked in 30 minutes due to incomplete KYC. Share the OTP sent to your number now to keep it active.,scam,yes,easy,authority/credential,,Impersonated authority + fake deadline + OTP request. Banks never ask you to share OTP.
S04,text,"Dear customer, your electricity will be disconnected tonight at 9:30 PM as your last bill was not updated. To avoid disconnection, contact our officer immediately on 8XXXXXXXXX.",scam,yes,medium,authority/redirect,,No money ask yet; threat + fake deadline pushes you to call an unverified number where the real ask happens. Early-stage scam.
S05,voice,"Madam, this is Inspector Sharma, Cyber Cell Mumbai. A parcel in your name has been seized containing illegal items. This is a confidential legal matter — do not disconnect the call and cooperate with verification to clear your name.",scam,yes,hard,authority/isolation,audio/S05.wav,"'Digital arrest' pattern; no such thing exists in India. Tell is blocking verification + enforced secrecy, not a money request."
S06,text,"Hello, this is regarding your pending invoice #4471 from Sharma & Sons. Please note our bank account details have changed — kindly make the payment to the new account below so your order can proceed.",scam,yes,medium,payment-redirect,,"Quiet, businesslike, no urgency/emotion. Tell is the payment redirect to changed account details."
S07,text,"Congratulations! Your number has WON ₹25,00,000 in the KBC Lucky Draw. To claim, pay a refundable processing fee of ₹6,500 to the account below and share your Aadhaar and bank details.",scam,yes,easy,prize/advance-fee,,Advance 'fee' to release a prize never entered for + identity harvest.
S08,text,"Dear Candidate, you are selected for a Work-From-Home Data Entry role at ₹35,000/month based on your profile. To confirm your seat, pay a one-time registration + training kit fee of ₹1,999. Limited seats.",scam,yes,medium,job/advance-fee,,Real employers don't charge to hire. 'Limited seats' = manufactured urgency.
S09,text,"Your loan EMI of ₹3,200 is overdue. Pay immediately or we will inform all your contacts about your default and take legal action. This is your final warning.",scam,yes,medium,threat/extortion,,Predatory loan-app coercion — threatens to shame you to your contacts. Blackmail is the flag even if a debt is real.
S10,text,"I finally got the visa approved for my trip to meet you! But customs is holding my gift package and I need to pay ₹18,000 clearance. I've spent everything on the ticket — can you help me, my love? I'll pay you back the moment I land.",scam,yes,hard,romance/advance-fee,,"Romance-scam 'package held at customs, pay a fee' pattern. Emotionally framed, victim already invested."
S11,text,"Hi, this is Rahul from the accounts team. Quick one — can you process the vendor payment we discussed to the updated account details I'm sending now? Let me know once done, thanks.",scam,yes,hard,payment-redirect/BEC,,"Business-email-compromise. Deliberately calm, no urgency — defeats the 'scams feel urgent' heuristic. Flag is the unexpected redirect to new details."
S12,text,India Post: Your parcel is held due to an unpaid customs charge of ₹45. Update your address and pay here within 24 hrs to avoid return: hxxp://india-post-delivery[.]top/track,scam,yes,easy,phishing/link,,Fake-delivery smishing: lookalike domain + tiny fee + 24h deadline.
S13,text,"Income Tax Dept: You are eligible for a refund of ₹15,490. Verify your bank account to receive it: click hxxp://itdept-refund[.]in/verify and enter your details before the deadline.",scam,yes,easy,authority/phishing,,'We owe YOU money' refund lure lowers guard; credential harvest via lookalike domain.
S14,text,Microsoft Security Alert: We detected a virus on your device sending your banking data to hackers. Call our certified technician immediately on 1-8XX-XXX to remove it before your accounts are drained.,scam,yes,medium,tech-support/authority,,Impersonated tech brand + fear + call-now. Ask happens on the call — same early-stage structure as S04.
S15,text,"Your WhatsApp will be deactivated in 24 hours due to a verification failure. To keep your account, reply with the 6-digit code we just sent to your number.",scam,yes,medium,authority/account-takeover,,The '6-digit code' is your real WhatsApp OTP — handing it over hijacks your account.
S16,text,"Hey, it's Priya! I got locked out of my account and the recovery code accidentally went to your number instead of mine. Can you forward me the 6-digit code you just received? Sorry for the trouble!! 😅",scam,yes,hard,account-takeover/social,,"From a real friend whose account is already hijacked — trusted contact, friendly tone. Tell is the OTP-forwarding request, never legitimate."
