id,input_type,truth,predicted,correct,difficulty,signal_family,risk_level,has_explanation,has_verify,says_genuine,latency
A01,text,legit,legit,True,hard,terseness,low,True,True,False,1.54
A02,text,scam,scam,True,medium,terseness,high,True,True,False,1.57
A03,text,legit,legit,True,hard,terseness,low,True,True,False,0.99
A04,text,legit,scam,False,hard,secrecy=legit,medium,True,True,False,1.31
A05,text,legit,legit,True,medium,otp-mention,low,True,True,False,1.41
A06,text,legit,scam,False,hard,otp-legit,high,True,True,False,1.12
A07,text,legit,scam,False,hard,every-signal-legit,high,True,True,False,1.29
A08,text,scam,scam,True,hard,no-explicit-signal,high,True,True,False,1.13
A09,text,scam,legit,False,hard,multi-turn-opener,low,True,True,True,1.13
A10,text,scam,legit,False,hard,no-explicit-signal,low,True,True,False,1.11
A11,text,scam,scam,True,medium,hinglish,high,True,True,False,1.44
A12,text,legit,legit,True,easy,hinglish,low,True,True,False,1.5
A13,text,scam,scam,True,medium,hinglish,high,True,True,False,1.15
A14,text,scam,scam,True,medium,paraphrase,high,True,True,False,1.16
A15,text,scam,scam,True,medium,paraphrase,high,True,True,False,1.25
A16,text,legit,legit,True,medium,new-number-legit,low,True,True,False,1.0
A17,text,scam,scam,True,easy,shortlink,high,True,True,False,1.14
A18,text,scam,scam,True,hard,fake-alert,high,True,True,False,1.18
A19,text,legit,legit,True,medium,fake-alert,low,True,True,False,1.16
A20,text,scam,legit,False,hard,no-explicit-signal,low,True,True,False,1.09
